Subject,Conf_Rat,avg_dev,num_weights,BDev,Mem
57dd766bbcd7150001ded5de,Med,0,5,0.5,Bel
59417543c768a500011c9731,High,-0.25,4,0.46875,Bel
56f0393f3f71990005d0e66d,High,-0.4,5,0.45,Bel
5e51dfe3618c57215938d7b7,High,1,5,0.625,Bel
5d54b73f1c1de70015d50959,High,0.8,5,0.6,Bel
5d6141608a11df001a477fbe,High,3.6,5,0.95,Bel
5be781ca3b047e0001a39e47,Med,0,5,0.5,Bel
5e04446a783225ee6e9ed929,Med,0.2,5,0.525,Bel
59a1de0cec2f75000124eeaf,High,0.8,5,0.6,Bel
5dd3e852b988873c617cd21a,High,0.6,5,0.575,Bel
5e975ea254955d0bfe9f7929,Med,0.2,5,0.525,Bel
5dcf402982569a08ddd84086,High,0.4,5,0.55,Bel
5dcf7b49523df00ae9c4e07e,Med,-0.4,5,0.45,Bel
5ed17af75957f60d040e3f34,High,1.2,5,0.65,Bel
5edd13e3858a15a07241964b,Med,0,5,0.5,Bel
578673a9275be6000135880e,Low,0.8,5,0.6,Bel
5ecc6fb87c7c7646490f3cf8,Med,-0.8,5,0.4,Bel
58effc65c31d4d00015aa5b9,Low,0.2,5,0.525,Bel
5e416e22fb96eb000b3fe2a8,High,-0.4,5,0.45,Bel
5c43349027bb0d0001282427,Low,0.666666667,3,0.583333333,Bel
5c2cdb4e213a1a0001b9c475,Med,0.6,5,0.575,Bel
5eb2d579ed24d507082b07a2,High,0.4,5,0.55,Bel
5dc1cd625fd2031344dfe43d,Low,-1.6,5,0.3,Bel
5b97f8988ae8150001c7a887,High,0.4,5,0.55,Bel
5c5fc78e96dff400013607a5,High,0.4,5,0.55,Bel
5c804f4092ad770015846011,Med,-1.4,5,0.325,Bel
5d2e56ae72b6780001c66698,Low,-0.4,5,0.45,Bel
5d82d28977546f00166ae702,High,0.8,5,0.6,Bel
5a9262251eda410001360b2c,Med,-1.25,4,0.34375,Bel
5ea492e3b1b3620a6fee3b90,Med,0.6,5,0.575,Bel
59e833e72f63d30001c8fb86,High,0.4,5,0.55,Bel
5c71b63c4aa8ec0001f2bfc4,Med,1.4,5,0.675,Bel
5dc4175e3317732e53467e8b,Med,2,2,0.75,Bel
59658491b9153e0001617465,Low,0.6,5,0.575,Bel
5c9ebf067114700016da2813,Med,-0.4,5,0.45,Bel
5eca8de81197051fa92b5a6a,High,1,5,0.625,Bel
57b60487e5b60d0001083aea,Low,0,3,0.5,Bel
5d1beb9c9e033e0017a725dc,Med,0.6,5,0.575,Bel
5dee72917309b950e5262f3a,High,0.8,5,0.6,Bel
56d0f57421cd29000a9737e4,High,-0.2,5,0.475,Bel
5ec75df0d799ae1c11a8115c,High,0.2,5,0.525,Bel
5e65c211b45c6432d8227e4c,Med,0.4,5,0.55,Bel
5c6a3c721519ac0001668582,High,1.5,5,0.6875,Bel
5dc1eb838a84461511b3cd73,Med,0.2,5,0.525,Bel
5cd062370081a60017789079,High,0.25,4,0.53125,Bel
5dc8d8b90a0b38630af7a0ba,High,0,5,0.5,Bel
5d6ef023cfe0a400198f911e,High,0.6,5,0.575,Bel
5beb8419aec9ef0001e9d5fb,Med,0.2,5,0.525,Bel
5ea8fe56a6d1a135a5a442cd,High,-0.2,5,0.475,Bel
5c9a7872e2a8d00001585513,Low,0.4,5,0.55,Bel
5c05ff644c14cf00019db0a9,High,0.2,5,0.525,Bel
5d847ac9be4b0b00188463d7,Med,1.2,5,0.65,Bel
5eb33612d573b51326905f30,Med,0.4,5,0.55,Bel
5c90094e71f3100016181ea9,Med,1.2,5,0.65,Bel
5e82cbf3469f74a0b6d0fd29,Med,0,5,0.5,Bel
5d0d16d991270800010b7dd7,High,2.6,5,0.825,Bel
5e6027f12036113753519c82,High,0.4,5,0.55,Bel
5b619b6c5256470001bcf992,Med,0.2,5,0.525,Bel
5e35d4a59d323458753819d2,High,0,5,0.5,Bel
595b93be7882150001240e21,High,1,5,0.625,Bel
5e37b3d7abde98738c0f1e7c,Med,-0.2,5,0.475,Bel
5e29ada5d441690127fb5748,Med,-0.4,5,0.45,Bel
5e84b8443f064006f1b5215c,High,0.25,4,0.53125,Bel
5dcca657854936945d68eaa9,Med,-0.8,5,0.4,Bel
5cd321750316ed0017c81bcd,Med,-0.4,5,0.45,Bel
5b4d39f2d4c93b00019c8217,Med,0,5,0.5,Bel
55b9a9b0fdf99b6906d2aba4,High,-0.4,5,0.45,Bel
58a43e029a17120001d910d5,Med,1.2,4,0.65,Bel
5edeb3b209233c154f4d552a,Med,-1,5,0.375,Bel
5d9f8573ce3daf0015e3e400,Med,0.2,5,0.525,Bel
5de1986c040f531f97eb6092,Med,-0.2,5,0.475,Bel
5490c822fdf99b71ba910e1a,Low,0.6,5,0.575,Bel
5831f08ebfb3b400015a6ad4,Med,-0.8,5,0.4,Bel
5e6690ca0ef3a301da87b4d9,High,0.8,5,0.6,Bel
5e6989bc651f7d241449fccf,High,1.2,5,0.65,Bel
5e8537fe23609011fe987ca7,High,-0.8,4,0.4,Bel
5ea997837d28170bc5125c56,Med,-0.4,5,0.45,Bel
5d378df21acda30001e7191e,High,0.5,4,0.5625,Bel
5c82a8cdfff8430015e9942f,High,1,5,0.625,Bel
5c925b0fb138fe0014e4036b,High,-0.4,5,0.45,Bel
5e5ab88a43f33029b119a48c,High,1.2,5,0.65,Bel
5e19c8d1477f3b24e0ac5efa,High,0.8,5,0.6,Bel
5a212dcc7b108200011e040c,Med,0.8,5,0.6,Bel
5c27f83289f035000174a168,High,-0.2,5,0.475,Bel
5ed081544e61f3163c036286,High,1,5,0.625,Bel
5d6d6412f570e000184cf48b,Med,1.2,5,0.65,Bel
5bddf0f876219d00014b145e,High,-0.6,5,0.425,Bel
5dacf17a6f11e500163e3bc4,Low,-0.4,5,0.45,Bel
5e4af9e73485dd000c99724e,High,0.4,5,0.55,Bel
5bcb229aa8920a00013060fa,Med,0.6,5,0.575,Bel
5b15307351caaf0001228d9b,Med,1.2,5,0.65,Bel
5cb9bc10e50fe5001746c43b,High,0.6,5,0.575,Bel
5a0d9553fe645f0001e9f852,Med,-0.2,5,0.475,Bel
5c03217b1a20110001e979f0,High,0.4,5,0.55,Bel
5ec12ad1759b78000a4f9965,High,1.6,5,0.7,Bel
5e552a5e45774651f60e62b3,Med,0.8,5,0.6,Bel
5dc1c27fb3e5c212018d9e33,High,-0.8,5,0.4,Bel
5ec2f967fa87231315e8b60c,Med,0.8,5,0.6,Bel
5e5b0bcc7a584430eb8bea65,High,-0.4,5,0.45,Bel
5c971acab18d000001e1afd7,Low,0.6,5,0.575,Bel
5e815773285d3883ba2fbbcf,Med,-0.4,5,0.45,Bel
5eb1bc2b9d57e52f90d13214,Med,0.2,5,0.525,Bel
5b5c8d4e10aec90001ed4bee,High,-0.4,5,0.45,Bel
5d63179aa3b94d0001da4bb6,Med,-1.2,5,0.35,Bel
5c742339e621f900163f4543,High,1.6,5,0.7,Bel
59dc458f77860e000151240e,High,0,5,0.5,Bel
5b76ce43bfc4cb0001f2c4c3,High,-0.6,5,0.425,Bel
5e80d8569d1bdf03449b0c2e,Med,0,5,0.5,Bel
5e175705cfe8dc000b559793,Med,0,5,0.5,Bel
5ddae85b393bd3a44d7cbaaa,High,0,5,0.5,Bel
5e1797da928b15062260e30e,High,-0.6,5,0.425,Bel
55ddb84550a1f7000b90d65a,Med,0.2,5,0.525,Bel
5e27868c5cbbcc0b3599574b,Low,0,5,0.5,Bel
5c871f91e769f8000178afc8,Low,-1.4,5,0.325,Bel
5d461284d9b0690001720f6d,Med,1.4,5,0.675,Bel
5e83abb4e0a2e40fd565226d,Med,0.666666667,4,0.583333333,Bel
5c28113978fad50001932f58,High,-0.4,5,0.45,Bel
5e78bf026d9a62443b9d5b74,High,0.6,5,0.575,Bel
58f10189738cac000116d3ab,High,0.8,5,0.6,Bel
5ee3c01c7247c006e9a3f4fd,High,-0.8,5,0.4,Bel
59f226a9d6380600018b2923,Med,0,3,0.5,Bel
5a6f1ccade1f390001dbd8b7,High,0.4,5,0.55,Bel
5e7daa886c123242e86c8138,High,0,5,0.5,Bel
5ee64e85c682de3a880579c6,High,0.4,5,0.55,Bel
5c92870723bd7e001870138e,Med,0.4,5,0.55,Bel
5d30a193b2cfe00017231a93,High,0.75,4,0.59375,Bel
5d4c7ac3e8ec490018b0050d,Med,0.4,5,0.55,Bel
5e84253b26729e1847f16611,Low,-1.2,5,0.35,Bel
5c70852d7826350001565ce4,Med,-1.4,5,0.325,Bel
5c40e7d99d27f00001159a65,Low,-1,4,0.375,Bel
5ab84333f69e940001d8f0af,Low,-1,5,0.375,Bel
5de82c263aa2777a36b996b2,High,0.8,5,0.6,Bel
5dd5db1ded7ea4574c7bc996,Low,0.2,5,0.525,Bel
5d8c46cc53b833001a4bf916,Med,-0.4,5,0.45,Bel
5e606b1eaf84e83c728748d7,Med,-0.8,5,0.4,Bel
5ec46d59c1c5e016fafe11d6,Low,-0.2,5,0.475,Bel
5ea90a840928983752c88275,Low,-0.8,5,0.4,Bel
5e6ef5fbf14d264ae2ef3867,High,0.6,5,0.575,Bel
5bd9f569eb22f2000183df4e,High,0.6,5,0.575,Bel
5ee6706034f12e3d82d952aa,High,0.4,5,0.55,Bel
5ec6c96f5b660e0f25ea094c,Low,1.4,5,0.675,Bel
5e9f55237c0db50bb0a02621,Low,-0.25,4,0.46875,Bel
5ddc516e82a527bc2397e6e1,Med,-0.4,5,0.45,Bel
59c0782e5364260001dc4740,Med,2,5,0.75,Bel
5e69987e0873d600084bc920,Low,-0.2,5,0.475,Bel
5ed0091bd374190b9b04045d,High,1.2,5,0.65,Bel
5ea9cc7058ebeb11a12e659c,Low,-0.2,5,0.475,Bel
5761c23632676f0007eb36b3,Med,0.4,5,0.55,Bel
5e41d817cfafb807ef94486a,Med,0,5,0.5,Bel
5c82656bed1753001581fd1e,High,-0.8,5,0.4,Bel
5ec5a64c306f255ec98d5cc1,High,0.4,5,0.55,Bel
5ebe057674d69c15b1642055,Med,-0.2,5,0.475,Bel
57d6dd8d6598aa000199188b,Low,0.6,5,0.575,Bel
597fe89a1b41a20001749f57,Med,-0.4,5,0.45,Bel
5eea5252da0cfc115e24e69b,High,-0.2,5,0.475,Bel
5ee3a34e16ad19048aef74f6,Med,1,5,0.625,Bel
56fdff4ee0f9ff000f19c466,High,0.6,5,0.575,Bel
5ec81134ac7d6b2b9ac51453,High,-0.4,5,0.45,Bel
5edfb0770fb0722aa3839b6d,Med,0.2,5,0.525,Bel
5b32c0ff975e260001e97d0e,High,0.6,5,0.575,Bel
5ee232f2b970662cfa352567,Med,0.4,5,0.55,Bel
5eb52896e034073a7b8aa981,Med,1.2,5,0.65,Bel
5cf21b7b2456d90001ee8e40,Med,0.4,4,0.55,Bel
5eb02a40b17a8c0868685d32,High,-0.4,5,0.45,Bel
5953d01e4d560700016462da,High,0.5,4,0.5625,Bel
5c6a36214fbf270001311702,Low,0.5,5,0.5625,Bel
5ed062703c9248144a334cb4,Low,0.4,5,0.55,Bel
5e065bba5a342503b3f3e0bc,Med,1.4,5,0.675,Bel
5eaa6339b2e5311e8e020396,Low,0.2,5,0.525,Bel
5ede8a971588b310e81f852f,Low,-0.4,5,0.45,Bel
5e2039ccf0b71e34ef9c60a2,High,0.4,5,0.55,Bel
5e8be450affef10d24343a7f,Low,1,5,0.625,Bel
5a04869ff2e3460001edad2e,Med,-0.4,5,0.45,Bel
5d4a41890e604c00011ade8b,High,0,5,0.5,Bel
5d5fa32a0fc94a0001632ac7,Low,0.333333333,3,0.541666667,Bel
5d344bd3b0f315001a122275,Med,0.6,5,0.575,Bel
5df162b6c76aa6080c4c7694,Low,-0.2,5,0.475,Bel
546f8a9cfdf99b4a593414ea,High,0.2,5,0.525,Bel
5dc47ddd034b45342d3b2e3a,Med,-0.25,4,0.46875,Bel
5a21b2e1e473b80001baaa09,Med,0.2,5,0.525,Bel
5c2d187569ceff00011417de,Low,-1.6,5,0.3,Bel
5687d85e369319000c269c55,High,3,5,0.875,Bel
5e1f938b06121f2be0d1ead4,High,-0.2,5,0.475,Bel
5eac6f1aa8b3bb0dcfebeba9,Med,0,5,0.5,Bel
5eb635754bbde6534e62c05e,High,0,5,0.5,Bel
5bfd81fb2feab400014d9060,High,0.6,5,0.575,Bel
5dd1964987c1fd2082c4d88e,High,-0.2,5,0.475,Bel
5d7af4ee784e52001b9b02da,Med,-0.2,5,0.475,Bel
5e8fa34befd9542a66b02feb,Med,0.6,4,0.575,Bel
5e820eb36551aa02fd72e1dc,High,-0.4,5,0.45,Bel
5de01c13c3a15e0a03332169,Med,0.2,5,0.525,Bel
5ea5d2b8d2bc3308f7af06d5,High,0,5,0.5,Bel
59c6305e6a287600011c388d,High,-0.2,5,0.475,Bel
57a761c22fc0d400012c9656,High,-0.2,5,0.475,Bel
5d83d2f1ae7a8b00017ec6a9,Med,0,5,0.5,Bel
56e130548b1c33000a388671,High,-0.2,5,0.475,Bel
5c0f1cf4f3027300014b606f,Med,0.4,5,0.55,Bel
5c92cda483617d0010bef1b8,High,0,5,0.5,Bel
5d558ebe886e3f0020e90fce,Med,1.25,4,0.65625,Bel
5e83d36b6d7daf107aea7a7c,Med,0.8,5,0.6,Bel
5efba90ef81cbe13a3d7df40,Med,-2,5,0.25,Bel
5ec5880e02a64c5b4102561f,High,0.4,5,0.55,Bel
5588d358fdf99b304ee5674f,High,0.8,5,0.6,Bel
5d5c265773125e001af7f4cf,Med,0.2,5,0.525,Bel
5ad9cc7ddfcfcb0001e667f3,Med,1.4,5,0.675,Bel
5eca36ad460a2b19ab37697b,Low,-0.2,5,0.475,Bel
5e9ca054511e7a1c5c5640e5,Low,1.8,5,0.725,Bel
5e911cfaefd95445d5a6c890,Med,0.6,5,0.575,Bel
5bf5ab78f35e0c000101b657,Med,-0.75,4,0.40625,Bel
5800e50de3536e00012840f4,High,-0.8,5,0.4,Bel
5e649034feba20212bb729db,High,-0.25,4,0.46875,Bel
5b16ceb0bdf4e10001630f58,Med,0.4,5,0.55,Bel
5e1882adfd7db4158998b5f0,Low,-0.2,5,0.475,Bel
5b954f10754b700001f06bf0,Med,-1.4,5,0.325,Bel
57bb6878eb28030001f7ea94,Med,-0.2,5,0.475,Bel
5ef165863c30cb15b9c83613,High,-0.4,5,0.45,Bel
5e4a1730c94447480594cea4,Med,-1.6,5,0.3,Bel
5de7f5d27c17f804d007da90,High,0.2,5,0.525,Bel
5e2861fb5c6297029148b635,Low,0.8,5,0.6,Bel
5d93c9c410165c0015326102,Med,-1.4,5,0.325,Bel
5c47d714a8703f0001b6e780,High,-0.8,5,0.4,Bel
5d0e9d1bf403080016411381,Med,-0.2,5,0.475,Bel
5e0e66730db8925a55fffbd5,Med,-0.6,5,0.425,Bel
5e2e9c7388448746ab366b7f,Med,0.2,5,0.525,Bel
5d6394518df2870001a74b42,Low,0.4,5,0.55,Bel
5eaf02446c144d5e3a4d4562,Low,0,5,0.5,Bel
5a8891155292b800012316a8,Low,-0.4,5,0.45,Bel
5eddaaaeb2a4d6ab5be32a02,Med,-0.2,5,0.475,Bel
5e8421d0df483e18852ff25e,Med,1.4,5,0.675,Bel
5b4d31673d01bd0001ec447e,High,0.4,5,0.55,Bel
5eab89102e910016bb0b5414,Low,-0.6,5,0.425,Bel
5c003b5c2c8cc1000138e25f,Low,0.2,5,0.525,Bel
5eb960c022781303ab1ca871,High,-0.4,5,0.45,Bel
55f63fc432af740012171ef6,Med,0.6,5,0.575,Bel
58066bf52d948b00014ba876,High,-0.2,5,0.475,Bel
5e9732d6bafec41daaf8fc30,Med,1.25,4,0.65625,Bel
5cdcd4ca9f75db0001411660,Med,0.6,5,0.575,Bel
5c1c137b0739430001693cf5,Med,0.6,5,0.575,Bel
550bb70bfdf99b6853dab45e,High,0,5,0.5,Bel
5decaac46e09cf3792805023,High,0.4,5,0.55,Bel
5c454961f5e3bc00014ed20b,High,1.5,4,0.6875,Bel
5dce29700ad506063969a4a5,High,0.6,5,0.575,Bel
5ee1327109ae2e4f8e01bd60,High,-1,4,0.375,Bel
576017836442fa0006cfb7cd,Med,0.4,5,0.55,Bel
5ec19dd52abb6a5ce5b9fe05,High,0,5,0.5,Bel
5d8927d21571f4001c8ce125,Low,-1.2,5,0.35,Bel
5dde8fba82f458000c8c7c75,High,0.8,5,0.6,Bel
5dec1c522911273179e44dbe,Med,0,4,0.5,Bel
5ed57ec8141d24118731f1bc,Low,0.333333333,3,0.541666667,Bel
59ad6f1e09709e00013c2ba5,High,0.6,5,0.575,Bel
5d5eeb06d8bcde00162d73f1,Med,0.2,5,0.525,Bel
5ee644b8a00c6d0621d20793,Med,0.6,5,0.575,Bel
5e44399336d11f01939401eb,Med,-0.6,5,0.425,Bel
5ea08654ea87f206588b6b50,Med,1.4,5,0.675,Bel
5de481c2a49875052fcf6dee,Med,0,4,0.5,Bel
5c935d881754ba001b25697a,Med,0.4,5,0.55,Bel
5ea9704edf73440535b5e34d,Low,1,4,0.625,Bel
5eaa605c7c3cbc1f14421a94,High,0,4,0.5,Bel
5eda5c5faf7c7f08a2f68cb7,Med,-0.8,5,0.4,Bel
5bef87523d79ff0001275154,Med,0.8,5,0.6,Bel
5ea77b0161f86b151f475c8f,Med,-0.2,5,0.475,Bel
5d5067b25371ae00191f69c4,High,-0.6,5,0.425,Bel
5d78647e4dadc9001a3e34dd,Med,-0.6,5,0.425,Bel
5591cd21fdf99b63126f6c60,High,0,5,0.5,Bel
5aa806e7777df200016088c5,High,1,5,0.625,Bel
5ef05a7425018a31e8bb3c68,Med,-0.2,5,0.475,Bel
5d045502bdeaa5000165e935,Med,0.25,5,0.53125,Bel
5c4de8f726093e000134ee6e,High,0.4,5,0.55,Bel
5eb2f1a1ce5ba10ab2c0a042,Med,-1.8,5,0.275,Bel
5dd1ab5dd3ac2a21600f87b8,Med,-0.6,5,0.425,Bel
5e935ec0ba38620009a3b0d8,High,0.4,5,0.55,Bel
5e9a567a22a6fa0ee4cf44f1,Med,0.2,5,0.525,Bel
5eba34aa6f816b16d72f49e1,Med,0.4,5,0.55,Bel
5df97abeabec5d6fcbbc764d,Low,0.6,5,0.575,Bel
5c586f5eee248f00016b7fe7,High,0.4,5,0.55,Bel
57656f6c2bfddf000125cce5,Med,0,5,0.5,Bel
5e40774a2ee93c2ae0ecad03,Low,-1,5,0.375,Bel
5e23646fd3ba5760bca7801c,High,-0.6,5,0.425,Bel
5eeab761609f0d1df85d61bf,Med,1.2,5,0.65,Bel
5e8b835818346405e2571585,Med,0,5,0.5,Bel
5dd0c43acaee3e187643d32b,Med,-1.2,5,0.35,Bel
5cfbdcec8483c6001930c1b1,High,1.8,5,0.725,Bel
5db6ff8c7f9e6b000dd24a19,High,0.8,5,0.6,Bel
5e2093a7e10aa2000c631268,Med,-0.8,5,0.4,Bel
5c8676deddda2d00012ad386,Low,0,5,0.5,Bel
5e876872ca754f08ceb52e9e,Med,0.6,5,0.575,Bel
5d4702f04f947a0001181420,High,0.4,5,0.55,Bel
5d62935aacd67c0015b06e8d,Low,0.4,5,0.55,Bel
5cfea2427b91e70001423ffb,Med,0.75,4,0.59375,Bel
5daab7a060ac5d0014235b89,Med,-0.6,5,0.425,Bel
5ea9024a58a5ae36f0416ed6,Med,0,5,0.5,Bel
5ebc75d16a8f8f0c09ba480b,Med,1,4,0.625,Bel
5e13d5a0398bb6a1517fab4c,Low,-0.6,5,0.425,Bel
5e921c1b451807056a5e85bb,High,1.2,5,0.65,Bel
5cf7bfff528ef50001e96f69,Low,-1.2,5,0.35,Bel
5e9b061b5eb4e3000a5ebc0b,High,0,4,0.5,Bel
56ec151f388e1d000a5924d0,Med,0.6,5,0.575,Bel
5e0e32ee1d4607573dc85b1f,Med,1.8,5,0.725,Bel
58474a9c89af6500017f4cd6,Med,0.8,5,0.6,Bel
5ecacb83b7f79d242d455216,High,-0.5,4,0.4375,Bel
5e7f64a99b18e463f74b0c91,High,0.25,4,0.53125,Bel
5ea523b2a7782138712c7e1b,High,0.2,5,0.525,Bel
5e602d66bc402a381b35f74a,Low,1,4,0.625,Bel
5e1276f7e69d0a912635da16,Med,0.2,5,0.525,Bel
5d9373b0e04970001ab482da,High,1.25,4,0.65625,Bel
559ef308fdf99b2616ff2a4f,Med,-0.8,5,0.4,Bel
5ca272f5caf59c0001a942cb,High,0.8,5,0.6,Bel
5b25c819a7cee100011d9091,Low,-1.4,5,0.325,Bel
5e3cba059e9d0b0b3663c90c,Med,1,5,0.625,Bel
5bd9fed6780d50000109c503,Med,1.5,4,0.6875,Bel
5c801cd6aaf2af0016478e6f,High,0.6,5,0.575,Bel
5e614c386ee9b3017b83e4bc,Med,0,5,0.5,Bel
5eac2cc56665cc23af76e945,High,0.4,5,0.55,Bel
5e9b8957035d900898422c3c,Med,0,5,0.5,Bel
5edbf245e31b590a6e572482,High,1,4,0.625,Bel
5eb0deb2bd00da19c156f390,Med,0.6,5,0.575,Bel
5eaf33928c0ee3626f0036e5,High,0.2,5,0.525,Bel
5e700bdb6319c15ed8726932,High,1,5,0.625,Bel
5ec5ba3e981556631c1a78ba,Med,0.8,5,0.6,Bel
5e3889c805856605d1838c21,High,0.5,4,0.5625,Bel
5eefa601e2550709b46a3dff,Low,-0.75,3,0.40625,Bel
5bcd295277740000016ab0a5,High,0.5,4,0.5625,Bel
5b15de5cbd9c310001570400,High,2.4,5,0.8,Bel
55b237e6fdf99b19ea79d2f7,Med,0.6,5,0.575,Bel
5db3b031efa9f6000cf02400,High,0,5,0.5,Bel
5e9a600390f4ad0f0f200993,Med,1.4,5,0.675,Bel
5b457ba9eb64c200015bbab1,Med,0.4,5,0.55,Bel
5ea3b1b9fc11ed33dde53561,High,0.8,5,0.6,Bel
5c8e1af5c6e10f00010d6212,High,0,5,0.5,Bel
5f5834134283933a1c3b42d0,Low,0.2,5,0.525,Bel
5ee150a384b8a1164fef6273,High,0.6,5,0.575,Bel
5eee3a583a975d29fd3e6f38,High,0.2,5,0.525,Bel
5c82d0ac51b0e00015cbd2fc,Med,-0.75,4,0.40625,Bel
58ac890076c5b70001662993,High,-0.8,5,0.4,Bel
5bddd64b48428800013061a6,Low,0.6,5,0.575,Bel
5ee100c8ac33db0e30697284,High,-0.4,5,0.45,Bel
5c1bc0ab84ff14000184c2ce,Med,0.6,5,0.575,Bel
5f4d1371c20934977e621ac3,High,0,5,0.5,Bel
5f4ee7ff2c5da213f015a27e,Med,-0.2,5,0.475,Bel
5d74001d391b6600175f433b,Med,0,5,0.5,Bel
5484fd09fdf99b38dfb9645c,Low,0.75,4,0.59375,Bel
5f5d967f60d7fa5fdca4cc4f,Low,0.2,5,0.525,Bel
559d9916fdf99b1e2b2dc6b8,Low,-0.666666667,3,0.416666667,Bel
5a03d20a7ecfc50001be0a7a,Med,0.2,5,0.525,Bel
5e2a425609072a0abb76094b,High,0.4,5,0.55,Bel
5dcf0e94fce60605794da411,High,0,5,0.5,Bel
5ee8fdbb6b0e1325a483f9fa,High,0.4,5,0.55,Bel
5f3b4854ac7ac783ce22070e,High,-0.2,5,0.475,Bel
5f3ed5c238cf461818f961b0,Med,-0.6,5,0.425,Bel
5c6319a0b73d590001ae789d,High,2.4,5,0.8,Bel
5e38e79295ff561112eae457,High,0.2,5,0.525,Bel
5a91877e777df200015fa0f5,High,0.8,5,0.6,Bel
5f4a7a00dc1bde60ab8f7ac5,High,0.2,5,0.525,Bel
5e6da92a65f32b372cf0fbdc,Low,-0.8,5,0.4,Bel
5f6e36c7f042f033d0f97bc1,High,-0.2,5,0.475,Bel
5f59dc445d3541000c150f40,Low,0.4,5,0.55,Bel
5cfdd7d53ca1bb00011030d4,High,0.2,5,0.525,Bel
5825ecee95f3030001cf889a,Low,-0.2,5,0.475,Bel
5dcaf5db575da17c63ebb51b,High,-0.6,5,0.425,Bel
5f7392562b5e060e795d20db,Low,0.2,5,0.525,Bel
56f9364e895094000c8f4967,High,0.6,5,0.575,Bel
56259489ed6e5a0005c80fde,High,0.4,5,0.55,Bel
5ee2c239f4ec4b804a79cf80,Med,0.6,5,0.575,Bel
5bdbf2d92562330001b8d056,Low,-0.6,5,0.425,Bel
5ace650a436f550001004f87,High,-0.8,5,0.4,Bel
5f94a8e7fa8c422fc88940b0,Med,0.2,5,0.525,Bel
5e63e24eaf3bd51660031dbe,High,-0.4,5,0.45,Bel
5d8fea94efcbb5001756364b,High,-0.5,4,0.4375,Bel
5e4dd61e228f8723566e06d4,High,-0.75,3,0.40625,Bel
5f4c4b277200c9868db9d43f,Med,0,5,0.5,Bel
5f49f3262a3d07563d14a7f1,Med,0.4,5,0.55,Bel
5ee09c1a0c2ad1027f541f53,Med,0.2,5,0.525,Bel
5ef1980b60a4447bc1a5408c,Low,0.2,5,0.525,Bel
5daa6f580d55870011370fd3,Med,0.4,3,0.55,Bel
5d305152b2cfe00019231a2a,High,0.2,5,0.525,Bel
56fa002e8425ef000b3a4276,Med,1.2,5,0.65,Bel
5ec2feeb47c4471339d3b2ce,Med,0.8,5,0.6,Bel
5e9fc65dee2ccf178f0e413f,Med,0.6,5,0.575,Bel
5d264dc7e4a0cb001a3efea6,Med,0.6,5,0.575,Bel
5f7d3ace29e51d20f794994a,Low,0.2,5,0.525,Bel
5e28e8730fd86a0a19e084cd,Low,0,4,0.5,Bel
5f2a12f5837dd81e5881b7cc,Low,0.4,5,0.55,Bel
5a49d6a06d85f80001c25bc4,Low,0.25,4,0.53125,Bel
5e1c138a2bf9514062e4de6b,Low,1.4,5,0.675,Bel
5f16f559325a640008bb9a07,Med,-0.2,5,0.475,Bel
5f4c5105ad5ee685d48bcca2,High,3,5,0.875,Bel
5f2853a8e736e613955f73bf,High,0.6,4,0.575,Bel
5f1a30f8e8cd9a11b2832182,Low,0,5,0.5,Bel
5c6d590ca190e0000103ec5f,High,0.6,5,0.575,Bel
5c57c06ed05b82000139682e,Med,-1,5,0.375,Bel
5c0990b854deae0001ac693c,Med,-0.4,5,0.45,Bel
5c101f812a1a620001f04007,Med,0.4,5,0.55,Bel
5c2fcd716ea6880001dc8e3d,High,1.4,5,0.675,Bel
5c9527e29e4f7400011e1571,Med,0,5,0.5,Bel
5dd2c9f2c925a82e5167ef8b,High,0.6,5,0.575,Bel
5b7cbe9db630cf000125dffe,Low,1.2,5,0.65,Bel
59296fb2e8a7ff000163f033,High,0,5,0.5,Bel
5f9c3ecd9a95b50a57842e5c,High,1,5,0.625,Bel
5d94794a521f890016f93604,High,-0.4,5,0.45,Bel
599ec7dc617ca80001fcd124,High,0.2,5,0.525,Bel
5e531b2205acdb33c0f5f24c,Med,0.8,5,0.6,Bel
5dd3e9d93228863b9c89ad1a,Low,-0.4,5,0.45,Bel
5dbaded2af6b8e0e8c3632ed,High,0.4,5,0.55,Bel
5c12521fbf739a0001cfeb03,Med,0,5,0.5,Bel
5db0a97f127d4000117cdfa0,High,0,5,0.5,Bel
5b26ed8a8ecf3f0001619040,Low,-0.2,5,0.475,Bel
58e79ac632bebb0001b741ec,High,-0.4,5,0.45,Bel
5bf08e67d63d690001360a79,Med,-0.4,5,0.45,Bel
5b707a406f0ed10001bfb973,Low,0.8,5,0.6,Bel
5f4c4dd50a92c286c1972f06,Med,0.2,5,0.525,Bel
5f3ac1732efa0a74f975b1a8,High,1,5,0.625,Bel
5ea70b0537c5170b90ece8ac,Low,-0.4,5,0.45,Bel
5b9efb73d1ff7a00013bfe84,Low,-0.6,5,0.425,Bel
5f4813c94e8b081877fb26a6,Med,1.4,5,0.675,Bel
5a947fb0f05361000171b5a3,Med,0.6,5,0.575,Bel
5e89fdffad009e010e958ee7,Med,0.8,5,0.6,Bel
5a5c23afe0cf3d0001268781,Med,0.6,5,0.575,Bel
5f50732850c7c600098593df,Low,0.4,5,0.55,Bel
